bibliographicCitation,bibliographicCitation_standardized
"Cussac, V., Ortubay, S., Iglesias, G., Milano, D., Lattuca, M.E., Barriga, J.P., Battini, M. and Gross, M. (2004), The distribution of South American galaxiid fishes: the role of biological traits and post-glacial history. Journal of Biogeography, 31: 103-121. https://doi.org/10.1046/j.0305-0270.2003.01000.x   |   Ortubay & D, Wegrzyn (pers, comm,)","Cussac, V.E., Ortubay, S., Iglesias, G., Milano, D., Lattuca, M.E., Barriga, J.P., Battini, M., and Gross, M. 2004. The distribution of South American galaxiid fishes: the role of biological traits and post-glacial history. Journal of Biogeography 31: 103–121."
"Cussac, V., Ortubay, S., Iglesias, G., Milano, D., Lattuca, M.E., Barriga, J.P., Battini, M. and Gross, M. (2004), The distribution of South American galaxiid fishes: the role of biological traits and post-glacial history. Journal of Biogeography, 31: 103-121. https://doi.org/10.1046/j.0305-0270.2003.01000.x  |  Milano, D., Cussac, V.E., Macchi, P.J., Ruzzante, D.E., Alonso, M.F., Vigliano, P.H. & Denegri, M.A. (2002) Predator associated morphology in Galaxias platei in Patagonian lakes. Journal of Fish Biology, 61, 138– 156.","Cussac, V.E., Ortubay, S., Iglesias, G., Milano, D., Lattuca, M.E., Barriga, J.P., Battini, M., and Gross, M. 2004. The distribution of South American galaxiid fishes: the role of biological traits and post-glacial history. Journal of Biogeography 31: 103–121."
"Cussac, V.E., Habit, E., Ciancio, J., Battini, M.A., Riva Rossi, C., Barriga, J.P., Baigún, C. and Crichigno, S. (2016), Freshwater fishes of Patagonia: conservation and fisheries. J Fish Biol, 89: 1068-1097. https://doi.org/10.1111/jfb.13008","Cussac, V.E., Habit, E., Ciancio, J., Battini, M.A., Riva Rossi, C., Barriga, J.P., Baigún, C., and Crichigno, S. 2016. Freshwater fishes of Patagonia: conservation and fisheries. J Fish Biol 89(1): 1068–1097. doi:10.1111/jfb.13008."
"Cussac, V.E.; Barrantes, M.E.; Boy, C.C.; Górski, K.; Habit, E.; Lattuca, M.E.; Rojo, J.H. New Insights into the Distribution, Physiology and Life Histories of South American Galaxiid Fishes, and Potential Threats to This Unique Fauna. Diversity 2020, 12, 178. https://doi.org/10.3390/d12050178","Cussac, V.E., Barrantes, M.E., Boy, C.C., Górski, K., Habit, E., Lattuca, M.E., and Rojo, J.H. 2020. New Insights into the Distribution, Physiology and Life Histories of South American Galaxiid Fishes, and Potential Threats to This Unique Fauna. Diversity 12(5): 178. Multidisciplinary Digital Publishing Institute. doi:10.3390/d12050178."
"Cuvier, G., Cuvier, G., Axelrod, H.R., Baird, S.F., Valenciennes, Koninklijk Zoologisch Genootschap Natura Artis Magistra,  te A., and Congress, L. of. 1835. Histoire naturelle des poissons. Chez F. G. Levrault; [etc., etc.], Paris. doi:10.5962/bhl.title.12283.","Cuvier, G. and Valenciennes. 1835. Histoire naturelle des poissons. Chez F. G. Levrault; [etc., etc.], Paris. doi:10.5962/bhl.title.12283."
"de Villalobos, Cristina, Ortiz-Sandoval, Juan J, & Habit, Evelyn. (2008). FINDING OF GORDIUS AUSTRINUS DE VILLALOBOS, ZANCA & IBARRA - VIDAL, 2005 (GORDIIDA, NEMATOMORPHA) IN THE STOMACH OF SALMO TRUTTA (SALMONIFORMES) IN PATAGONIA. Gayana (Concepción), 72(1), 31-35. https://dx.doi.org/10.4067/S0717-65382008000100005","de Villalobos, C., Ortiz-Sandoval, J.J., and Habit, E. 2008. Finding Of Gordius Austrinus De Villalobos, Zanca & Ibarra-Vidal, 2005 (Gordiida, Nematomorpha) In The Stomach Of Salmo Trutta (Salmoniformes) In Patagonia. Gayana (Concepción) 72(1): 31–35. Universidad de Concepción. Facultad de Ciencias Naturales y Oceanográficas. doi:10.4067/S0717-65382008000100005."
"Dean A. Hendrickson, and Adam E. Cohen. 2015. Fishes of Texas Project Database (Version 2.0), doi:10.17603/C3WC70. Accessed March     31, 2026","Dean A. Hendrickson, and Adam E. Cohen. 2015. Fishes of Texas Project Database (Version 2.0), doi:10.17603/C3WC70. Accessed March 31, 2026"
"Desarrollo de metodologías de control sostenido y restauración en propiedad privada de múltiples usos, en la cuenca río Marazzi, Tierra del Fuego.","Desarrollo de metodologías de control sostenido y restauración en propiedad privada de múltiples usos, en la cuenca río Marazzi, Tierra del Fuego."
"Di Prinzio, C. Y., & Pascual, M. A. (2008). The establishment of exotic Chinook salmon (Oncorhynchus tshawytscha) in Pacific rivers of Chubut, Patagonia, Argentina. Annales de Limnologie - International Journal of Limnology, 44, 25–32.","Di Prinzio, C.Y., and Pascual, M.A. 2008. The establishment of exotic Chinook salmon (Oncorhynchus tshawytscha) in Pacific rivers of Chubut, Patagonia, Argentina. Annales de Limnologie - International Journal of Limnology 44: 25–32."
"Di Prinzio, C. Y., Omad, G., Miserendino, M. L., & Casaux, R. (2015). Selective foraging by non-native rainbow trout on invertebrates in Patagonian streams in Argentina. Zoological studies, 54, e29. https://doi.org/10.1186/s40555-015-0108-9","Di Prinzio, C.Y., Omad, G., Miserendino, M.L., and Casaux, R. 2015. Selective foraging by non-native rainbow trout on invertebrates in Patagonian streams in Argentina. Zool Stud 54: e29. doi:10.1186/s40555-015-0108-9."
"Di Prinzio, C., & Casaux, R. (2012). Dietary overlap among native and non-native fish in Patagonian low-order streams. Annales De Limnologie - International Journal of Limnology, 48(1), 21-30. doi:10.1051/limn/2011055","Di Prinzio, C., and Casaux, R. 2012. Dietary overlap among native and non-native fish in Patagonian low-order streams. Annales de Limnologie - International Journal of Limnology 48: 21–30. doi:10.1051/limn/2011055."
"Di Prinzio, C.Y. and Arismendi, I. (2018), Early development and diets of non-native juvenile Chinook Salmon (Oncorhynchus tshawytscha) in an invaded river of Patagonia, southern South America. Austral Ecology, 43: 732-741. https://doi.org/10.1111/aec.12597","Di Prinzio, C., and Arismendi, I. 2018. Early development and diets of non-native juvenile Chinook Salmon (Oncorhynchus tshawytscha) in an invaded river of Patagonia, southern South America. Austral Ecology 43(7): 732–741. doi:10.1111/aec.12597."
"Di Prinzio, C.Y., Miserendino, M.L. and Casaux, R. (2013), Feeding strategy of the non-native rainbow trout, Oncorhynchus mykiss, in low-order Patagonian streams. Fish Manag Ecol, 20: 414-425. https://doi.org/10.1111/fme.12028","Di Prinzio, C.Y., Miserendino, M.L., and Casaux, R. (n.d.). Feeding strategy of the non‐native rainbow trout, Oncorhynchus mykiss, in low‐order Patagonian streams. doi:10.1111/fme.12028."
"Di Prinzio, C.Y., Rossi, C.R., Ciancio, J. et al. Disentangling the contributions of ocean ranching and net-pen aquaculture in the successful establishment of Chinook salmon in a Patagonian basin. Environ Biol Fish 98, 1987–1997 (2015). https://doi.org/10.1007/s10641-015-0418-0","Di Prinzio, C.Y., Rossi, C.R., Ciancio, J., Garza, J.C., and Casaux, R. 2015. Disentangling the contributions of ocean ranching and net-pen aquaculture in the successful establishment of Chinook salmon in a Patagonian basin. Environmental Biology of Fishes 98: 1987–1997. doi:10.1007/s10641-015-0418-0."
DOI:10.13140/RG.2.2.15323.21289,"Chalde, T., Casalinuovo, M., Rojo, J., Villatarco, A., Boy, C., Lesta, S., and Fernández, D. 2016. New establishment of a chinook salmon (Oncorhynchus tshawytscha) population in the extreme South of Patagonia. doi:10.13140/RG.2.2.15323.21289."
DOI:10.54451/PanamJAS.17.3.304,"Hüne, M., Haro, D., Davis, E., Gutiérrez Lagos, D., Anderson, C., and Sabat, P. 2022. Niche overlap in sympatric introduced trout from a southern Patagonian river: evidence from stomach contents and stable isotope analysis. Pan-American Journal of Aquatic Sciences 17: 304–312. doi:10.54451/PanamJAS.17.3.304."
Doris Soto and Fernando Jara (1996) Evaluación de salmonideos de vida libre en aguas interiores de las regiones X y XI.. FIP IT 95-31 159pp.,"Soto, D., and Jara, F. 1996. Evaluación de salmonideos de vida libre en aguas interiores de las regiones X y XI. Fondo de Investigación Pesquera - Universidad Austral de Chile."
"Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","Soto, D., Arismendi, I., Jara, F., Zelada, S., Ruíz, M., Vargas, M., Sanzana, J., Leal, C., Norambuena, F., and Mansilla, M. 2001. Evaluacion, ordenamiento y manejo del potencial biológico para la pesca deportiva de la región de los lagos. Fondo Nacional de Desarrollo Regional Region de los Lagos - Universidad Austral de Chile, Puerto Montt."
"Dyer, B. (1994) Specimens of Chilean fish deposited by B. Dyer in the University of Michigan Zoological Museum. in.. NEODAT II team databese http://www.neodat.org/.","Dyer, B. 1994. Specimens of Chilean fish deposited by B. Dyer in the University of Michigan Zoological Museum. University of Michigan Zoological Museum, NEODAT II team database. Available from http://www.neodat.org/."
E.C. Rowe & Asoc. (1994) Estudio de Impacto Ambiental (EIA) proyecto Fachinal tranque de relave.. CONAMA.,E.C. Rowe & Asoc. 1994. Estudio de Impacto Ambiental (EIA) proyecto Fachinal tranque de relave.. CONAMA NA. Type of document: EIA Notes: NA
"Econometric S.A. (2014) Estudio De Limnologia, Parque Eolico Cateao, Isla Rande De Chiloe, X Region. https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=8192018","Econometric S.A. 2014. Estudio De Limnologia, Parque Eolico Cateao, Isla Rande De Chiloe, X Region. NA, https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=8192018"
Edwin Niklitschek and Eduardo Aedo (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la XI región. FIP 2000-25. FIP 2000-25 75pp.,"Niklitschek, E., and Aedo, E. 2002. Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la XI región. Fondo de Investigación Pesquera - Universidad Austral de Chile."
"Eigenmann, C.H. 1928. The fresh-water fishes of Chile. Memoirs of the National Academy of Science 22: 1–80.","Eigenmann, C.H. 1928. The fresh-water fishes of Chile. Memoirs of the National Academy of Science 22: 1–80."
"Elgueta, A., González, J., Ruzzante, D.E., Walde, S.J. and Habit, E. (2013), Trophic interference by Salmo trutta on Aplochiton zebra and Aplochiton taeniatus in southern Patagonian lakes. Journal of Fish Biology, 82: 430-443. https://doi.org/10.1111/j.1095-8649.2012.03489.x","Elgueta, a, González, J., Ruzzante, D.E., Walde, S.J., and Habit, E. 2013. Trophic interference by Salmo trutta on Aplochiton zebra and Aplochiton taeniatus in southern Patagonian lakes. Journal of fish biology 82(2): 430–43. doi:10.1111/j.1095-8649.2012.03489.x."
"Estai, E. (1999) Desarrollo y manejo de una pesquería fluvial de trucha café (Salmo trutta fario) en río penitente, XII región. Informe Final.. FONTEC-CORFO Código N° 96-08521.","Estai, E. 1999. Desarrollo y manejo de una pesquería fluvial de trucha café (Salmo trutta fario) en río penitente, XII región. Informe Final.. FONTEC-CORFO Código N° 96-08521. Type of document: Unpub. Report Notes: NA"
"Estudio peces CEA, Entrevista Jorge Parra","Estudio peces CEA, Entrevista Jorge Parra"
"Faúndez, V., Blanco G.,Vázquez E. & Sánchez J.A. (1997) Allozyme variability in brown trout Salmo trutta in Chile.. Freshwater Biology 37: 507-514.","Faúndez, V., Blanco, G., Vázquez, E., and Sánchez, J.A. 1997. Allozyme variability in brown trout Salmo trutta in Chile. Freshwater Biology 37: 507–514."
"Fernández L. Nadalin D. López H. y Serio M. 2015. COLECCIÓN ICTIOLÓGICA DEL MUSEO DE LA PLATA: LA FAMILIA TRICHOMYCTERIDAE. PROBIOTA, FCNYM, UNLP, LA PLATA, ARGENTINA, SERIE TÉCNICA Y DIDÁCTICA 35: 1-39. ISSN 1515-9329","Fernández, L., Nadalin, D.O., López, H.L., and Serio, M.J. 2015. Colección ictiológica del Museo de La Plata: la familia Trychomycteridae. ProBiota: Serie Técnica y Didáctica no. 35. Available from http://sedici.unlp.edu.ar/handle/10915/50837 [accessed 1 October 2025]."
"Fernandez M. Semenas L. y Viozzi G. 2012. Parasites of the “Peladilla,” Aplochiton zebra (Osmeriformes: Galaxiidae), from Patagonia (Argentina and Chile). Comparative Parasitology 79(2): 231-237. https://doi.org/10.1654/4561.1","Fernandez, V., Semenas, L., and Viozzi, G. 2012. Parasites of the “Peladilla,” Aplochiton zebra (Osmeriformes: Galaxiidae), from Patagonia (Argentina and Chile). copa 79(2): 231–237. The Helminthological Society of Washington. doi:10.1654/4561.1."
"Fernandez, D.A., Calvo, J., Franklin, C.E. and Johnston, I.A. (2000), Muscle fibre types and size distribution in sub-antarctic notothenioid fishes. Journal of Fish Biology, 56: 1295-1311. https://doi.org/10.1111/j.1095-8649.2000.tb02144.x","Fernández, D., Calvo, J., Franklin, C., and Johnston, I. 2000. Muscle fibre types and size distribution in sub-Antarctic Notothenioid fishes. Journal of Fish Biology 56. doi:10.1111/j.1095-8649.2000.tb02144.x."
"Fernández, D.A., Ciancio, J., Ceballos, S.G. et al. Chinook salmon (Oncorhynchus tshawytscha, Walbaum 1792) in the Beagle Channel, Tierra del Fuego: the onset of an invasion. Biol Invasions 12, 2991–2997 (2010). https://doi.org/10.1007/s10530-010-9731-x | Riva Rossi, C.M., Pascual, M.A., Aedo Marchant, E. et al. The invasion of Patagonia by Chinook salmon (Oncorhynchus tshawytscha): inferences from mitochondrial DNA patterns. Genetica 140, 439–453 (2012). https://doi.org/10.1007/s10709-012-9692-3","Fernández, D.A., Ciancio, J., Ceballos, S.G., Riva-Rossi, C., and Pascual, M.A. 2010. Chinook salmon (Oncorhynchus tshawytscha, Walbaum 1792) in the Beagle Channel, Tierra del Fuego: the onset of an invasion. Biological Invasions 12(9): 2991–2997. doi:10.1007/s10530-010-9731-x."
"Fernández, DA, Bruno, DO, Llompart, FM. 2018. Length–weight relationship of six notothenioid species from sub-Antarctic waters (Beagle Channel, Argentina). J Appl Ichthyol. 2019; 35: 597– 599. https://doi.org/10.1111/jai.13833","Fernandez, D.A., Bruno, D.O., and Llompart, F.M. 2018. Length–weight relationship of six notothenioid species from sub-Antarctic waters (Beagle Channel, Argentina). Journal of Applied Ichthyology 34(4). doi:10.1111/jai.13833."
"Fernández, M. V., Garibotti, G., Semenas, L., & Viozzi, G. (2015). Influencia de factores bióticos y abióticos sobre las comunidades de parásitos metazoos de un pez presa nativo: estudio en 28 lagos andino patagónicos. Ecología Austral, 25(3), 221–230. https://doi.org/10.25260/EA.16.25.3.0.60","Fernández, M.V., Garibotti, G., Semenas, L., and Viozzi, G. 2015. Influence of biotic and abiotic factors on the metazoan parasite communities of a native prey fish: study in 28 Andean Patagonian lakes. Ecología Austral 25(3): 221–230. doi:10.25260/EA.16.25.3.0.60."
"Fernández, M. V., Lallement, M., Rechencq, M., Vigliano, P. H., Sosnovsky, A., & Macchi, P. J. (2018). Top predator fish assemblages in Northern Patagonia, Argentina. What factors regulate their patterns of distribution and abundance? Austral Ecology, 43(6), 651–662. https://doi.org/10.1111/aec.12610","Fernández, M.V., Lallement, M., Rechencq, M., Vigliano, P.H., Sosnovsky, A., and Macchi, P.J. 2018. Top predator fish assemblages in Northern Patagonia, Argentina. What factors regulate their patterns of distribution and abundance? Austral Ecology 43(6): 651–662. doi:10.1111/aec.12610."
Fernando Jara S. & Doris Soto B. (1997) Recaptura salmones retornantes en río Petrohué.. Universidad Austral de Chile 19pp.,"Jara, F., and Soto, D. 1997. Recaptura salmones retornantes en río Petrohué. Unpub. Report, Universidad Austral de Chile."
"Figueroa-Muñoz, G., Gomez-Uchida, D., Fierro, P. et al. First record of a synergistic interaction between invasive salmonids in South America. Biol Invasions 24, 1–8 (2022). https://doi.org/10.1007/s10530-021-02629-x","Figueroa-Muñoz, G., Gomez-Uchida, D., Fierro, P., Valdebenito, I., and Arismendi, I. 2022. First record of a synergistic interaction between invasive salmonids in South America. Biol Invasions 24(1): 1–8. doi:10.1007/s10530-021-02629-x."
"Fishnet2, Colecta BS Dyer","Fishnet2, Colecta BS Dyer"
"Flores V, Liliana S. Infection patterns of Tylodelphys barilochensis and T. crubensis (Trematoda: Diplostomatidae) metacercariae in Galaxias maculatus (Osmeriformes: Galaxiidae) from two Patagonian lakes and observations on their geographical distribution in the southern Andean region, Argentina. J Parasitol. 2002 Dec;88(6):1135-9. doi: 10.1645/0022-3395(2002)088[1135:IPOTBA]2.0.CO;2. PMID: 12537107.","Flores, V., and Liliana, S. 2002. Infection patterns of Tylodelphys barilochensis and T. crubensis (Trematoda: Diplostomatidae) metacercariae in Galaxias maculatus (Osmeriformes: Galaxiidae) from two Patagonian lakes and observations on their geographical distribution in the southern Andean region, Argentina. J Parasitol 88(6): 1135–1139. doi:10.1645/0022-3395(2002)088%5B1135:IPOTBA%5D2.0.CO;2."
"Flores, V., & Viozzi, G. (2001). Redescription, seasonality and distribution of Myxobolus magellanicus (Myxosporea) in Galaxias maculatus (Osmeriformes, Galaxiidae) from Patagonian Andean lakes (Argentina). Acta Parasitologica, 46(3), 159-163. ISSN/ISBN: 1230-2821","Flores, V., and Viozzi, G.P. 2007. Redescription, seasonality and distribution of Myxobolus magellanicus (Myxosporea) in Galaxias maculatus (Osmeriformes, Galaxiidae) from Patagonian Andean lakes (Argentina). Acta Parasitologica 46(3): 159–163."
"Flores, V., Semenas, L., Rauque, C., Vega, R.M., Fernandez, V., & Lattuca, M.E. (2016). Macroparasites of silversides (Atherinopsidae: Odontesthes) in Argentina. Revista Mexicana De Biodiversidad, 87, 919-927. DOI: 10.1016/j.rmb.2016.06.009","Flores, V., Semenas, L., Rauque, C., Vega, R., Fernandez, V., and Lattuca, M. 2016. Macroparasites of silversides (Atherinopsidae: Odontesthes) in Argentina. Revista Mexicana de Biodiversidad 87(3): 919–927. doi:10.1016/j.rmb.2016.06.009."
"Fowler, H. 1951. Analysis of the fishes of Chile. Revista Chilena de Historia Natural: 263-323.","Fowler, H. 1951. Analysis of the fishes of Chile. Revista Chilena de Historia Natural: 263-323."
FuenteReg: Gunther 1880 Estudio: Campos et al. 1993b,"Günther, A.C.L.G. 1880. An introduction to the study of fishes. Adam & Charles Black, Edinburgh."
"Gacitúa, Santiago, Oyarzún, Ciro, & Veas, Rodrigo. (2008). Análisis multivariado de la morfometría y merística del robalo Eleginops maclovinus (Cuvier, 1830). Revista de biología marina y oceanografía, 43(3), 491-500. https://dx.doi.org/10.4067/S0718-19572008000300008","Gacitúa, S., Oyarzún, C., and Veas, R. 2008. Análisis multivariado de la morfometría y merística del robalo Eleginops maclovinus (Cuvier, 1830). Revista de biología marina y oceanografía 43(3): 491–500. Universidad de Valparaíso. Facultad de Ciencias del Mar. doi:10.4067/S0718-19572008000300008."
Gaman Limno Studies Ltda. (2014) Central Hidroelectrica Chaica.,"Gaman Limno Studies Ltda. 2014. Central Hidroelectrica Chaica. NA, NA"
"Gaman Limno Studies Ltda. (2014) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°767/2014. Proyecto: Estudio Línea base de tipo limnológico del proyecto hidroeléctrico Chaica en el río Lenca, comuna de Puerto Montt, X Región. Mandante: Ingenium Civil S.A","Gaman Limno Studies Ltda. 2014. Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°767/2014. Proyecto: Estudio Línea base de tipo limnológico del proyecto hidroeléctrico Chaica en el río Lenca, comuna de Puerto Montt, X Región. Mandante: Ingenium Civil S.A"
"George-Nascimento, M., López-Rodríguez, R. & Górski, K. Geographic variation in composition of metazoan parasite infracommunities in Galaxias maculatus Jenyns 1842 (Osmeriformes: Galaxiidae) in southern Chile (38-47° S). Rev. Chil. de Hist. Nat. 93, 2 (2020). https://doi.org/10.1186/s40693-020-00090-z","George-Nascimento, M., López-Rodríguez, R., Górski, K., George-Nascimento, M., López-Rodríguez, R., and Górski, K. 2020. Geographic variation in composition of metazoan parasite infracommunities in Galaxias maculatus Jenyns 1842 (Osmeriformes: Galaxiidae) in southern Chile (38-47° S). Revista chilena de historia natural 93. Sociedad de Biología de Chile. doi:10.1186/s40693-020-00090-z."
"GEORGE-NASCIMENTO, MARIO, MELLADO, ALEX, SAAVEDRA, SANDRA, & CARVAJAL, JUAN. (2009). Variability of metazoan parasite communities in the rock cod Eleginops maclovinus (Cuvier & Valenciennes, 1830) (Pisces: Eleginopidae) off Chile. Revista chilena de historia natural, 82(2), 199-207. https://dx.doi.org/10.4067/S0716-078X2009000200003","George-Nascimento, M., Mellado, A., Saavedra, S., and Carvajal, J. 2009. Variabilidad de las comunidades de parásitos metazoos del róbalo Eleginops maclovinus (Cuvier &amp; Valenciennes, 1830) (Pisces: Eleginopidae) en Chile. Revista chilena de historia natural 82(2): 199–207. Sociedad de Biología de Chile. doi:10.4067/S0716-078X2009000200003."
"GEORGE-NASCIMIENTO M, MELLADO A, SAAVEDRA S, CARVAJAL J Variabilidad De Las Comunidades De Parasitos Metazoos Del Robalo Eleginops Maclovinus (Cuvier & Valenciennes, 1830) (Pisces: Eleginopidae) En Chile.","George-Nascimento, M., Mellado, A., Saavedra, S., and Carvajal, J. 2009. Variabilidad de las comunidades de parásitos metazoos del róbalo Eleginops maclovinus (Cuvier &amp; Valenciennes, 1830) (Pisces: Eleginopidae) en Chile. Revista chilena de historia natural 82(2): 199–207. Sociedad de Biología de Chile. doi:10.4067/S0716-078X2009000200003."
GESAM (2015) Proyecto Hidroelectrico San Victor.,"GESAM (2015) Proyecto Hidroelectrico San Victor. NA, NA"
GESAM Proyecto Central Hidroelectrica Rio Picacho Xi Region De Aysen.,GESAM Proyecto Central Hidroelectrica Rio Picacho Xi Region De Aysen.
GESAM Proyecto De Construccion Aerodromo Yendegaia.,GESAM Proyecto De Construccion Aerodromo Yendegaia.
"GESAM Sistema De Transmision Aysen Y Sistema De Transmision Energia Austral, Entre Region De Valparaiso Y Region De Aysen.","GESAM Sistema De Transmision Aysen Y Sistema De Transmision Energia Austral, Entre Region De Valparaiso Y Region De Aysen."
"Gil De Pertierra, A.A. & Semenas, L.G. (2005) . Galaxitaenia toloi n. gen., n. sp. (Eucestoda: Pseudophyllidea) from Galaxias platei (Pisces: Osmeriformes, Galaxiidae), in the Patagonian region of Argentina. Journal of Parasitology, 91(4), 900-908. http://dx.doi.org/10.1645/GE-437R.1","Gil de Pertierra, A.A., and Semenas, L.G. 2005. Galaxitaenia toloi n. gen., n. sp. (Eucestoda: Pseudophyllidea) from Galaxias platei (Pisces: Osmeriformes, Galaxiidae), in the Patagonian region of Argentina. J Parasitol 91(4): 900–908. doi:10.1645/GE-437R.1."
"Godoy MG, Aedo A, Kibenge MJ, Groman DB, Yason CV, Grothusen H, Lisperguer A, Calbucura M, Avendaño F, Imilán M, Jarpa M, Kibenge FS. First detection, isolation and molecular characterization of infectious salmon anaemia virus associated with clinical disease in farmed Atlantic salmon (Salmo salar) in Chile. BMC Vet Res. 2008 Aug 4;4:28. doi: 10.1186/1746-6148-4-28. PMID: 18680586; PMCID: PMC2519066.","Godoy, M.G., Aedo, A., Kibenge, M.J.T., Groman, D.B., Yason, C.V., Grothusen, H., Lisperguer, A., Calbucura, M., Avendaño, F., Imilán, M., Jarpa, M., and Kibenge, F.S.B. 2008. First detection, isolation and molecular characterization of infectious salmon anaemia virus associated with clinical disease in farmed Atlantic salmon (Salmo salar) in Chile. BMC Vet Res 4: 28. doi:10.1186/1746-6148-4-28."
"Gómez S. 1990. Some thermal ecophysiological observations on the catfish Hatcheria macraei (Girard 1855) (Siluriformes, Trichomycteridae). Biota 6: 89-95. Osorno, Chile.","Gómez, S. 1990. Some thermal ecophysiological observations on the catfish Hatcheria macraei (Girard, 1855) (Pisces, Trichomycteridae). Biota 6: 89–95."
"Gomez-Uchida, D, Cañas-Rojas, D, Riva-Rossi, CM, et al. Genetic signals of artificial and natural dispersal linked to colonization of South America by non-native Chinook salmon (Oncorhynchus tshawytscha). Ecol Evol. 2018; 8: 6192– 6209. https://doi.org/10.1002/ece3.4036","Gomez‐Uchida, D., Cañas‐Rojas, D., Riva‐Rossi, C.M., Ciancio, J.E., Pascual, M.A., Ernst, B., Aedo, E., Musleh, S.S., Valenzuela‐Aguayo, F., Quinn, T.P., Seeb, J.E., and Seeb, L.W. 2018. Genetic signals of artificial and natural dispersal linked to colonization of South America by non-native Chinook salmon (Oncorhynchus tshawytscha). Ecology and Evolution 8(12): 6192–6209. doi:10.1002/ece3.4036."
"Gómez, SE. 1990. Some thermal ecophysiological observations on the catfish Hatcheria macraei (Girard, 1858) (Pisces, Trichomycteridae). Biota, Chile 6: 89-95","Gómez, S. 1990. Some thermal ecophysiological observations on the catfish Hatcheria macraei (Girard, 1855) (Pisces, Trichomycteridae). Biota 6: 89–95."
"Gonzáles, J. 2005. Evaluación de interferencias tróficas entre truchas y peces nativos en ríos del sur de Chile, a través de analísis de contenidos estomacales. Tesis de pregrado Biología Marina, Facultad de Ciencias, Universidad Austral de Chile.","Gonzáles, J. 2005. Evaluación de interferencias tróficas entre truchas y peces nativos en ríos del sur de Chile, a través de analísis de contenidos estomacales. Tesis de pregrado Biología Marina, Facultad de Ciencias, Universidad Austral de Chile."
"González J. 2005. EVALUACIÓN DE INTERFERENCIAS TRÓFICAS ENTRE TRUCHAS Y PECES NATIVOS EN RÍOS DEL SUR DE CHILE, A TRAVÉS DEL ANÁLISIS DE CONTENIDOS ESTOMACALES. Tesis de pregrado Biología Marina, Facultad de Ciencias. Universidad Austral de Chile. 75 p.","Gonzáles, J. 2005. Evaluación de interferencias tróficas entre truchas y peces nativos en ríos del sur de Chile, a través de analísis de contenidos estomacales. Tesis de pregrado Biología Marina, Facultad de Ciencias, Universidad Austral de Chile."
"González J. 2012. Distribución, estructura comunitaria y poblacional de Galáxidos en Patagonia: aspectos determinantes históricos y actuales amenazas para su conservación. Centro de Ciencias Ambientales EULA-Chile. Universidad de Concepción. Chile. 128 p.","González, J. 2012. Distribución, estructura comunitaria y poblacional de Galaxias en Patagonia: aspectos determinantes históricos y actuales amenazas para su conservación. Centro de Ciencias Ambientales EULA-Chile. Universidad de Concepción."
"González-Wevar CA, Salinas P, Hüne M, Segovia NI, Vargas-Chacoff L, Astorga M, et al. (2015) Phylogeography in Galaxias maculatus (Jenyns, 1848) along Two Biogeographical Provinces in the Chilean Coast. PLoS ONE 10(7): e0131289. https://doi.org/10.1371/journal.pone.0131289","González-Wevar, C.A., Salinas, P., Hüne, M., Segovia, N.I., Vargas-Chacoff, L., Astorga, M., Cañete, J.I., and Poulin, E. 2015. Phylogeography in Galaxias maculatus (Jenyns, 1848) along two biogeographical provinces in the chilean coast. PLOS ONE 10(7): e0131289. doi:10.1371/journal.pone.0131289."
"González-Wevar CA, Salinas P, Hüne M, Segovia NI, Vargas-Chacoff L, Astorga M, et al. (2015) Phylogeography in Galaxias maculatus (Jenyns, 1848) along Two Biogeographical Provinces in the Chilean Coast. PLoS ONE 10(7): e0131289. https://doi.org/10.1371/journal.pone.0131289 | González-Wevar C, Salinas P, Hüne M, Segovia N, Vargas-Chacoff L, Oda E, Poulin E. Contrasting Genetic Structure and Diversity of Galaxias maculatus (Jenyns, 1848) Along the Chilean Coast: Stock Identification for Fishery Management. J Hered. 2015;106 Suppl 1:439-47. doi: 10.1093/jhered/esv005. PMID: 26245779.","González-Wevar, C.A., Salinas, P., Hüne, M., Segovia, N.I., Vargas-Chacoff, L., Astorga, M., Cañete, J.I., and Poulin, E. 2015. Phylogeography in Galaxias maculatus (Jenyns, 1848) along two biogeographical provinces in the chilean coast. PLOS ONE 10(7): e0131289. doi:10.1371/journal.pone.0131289."
"Gonzalo Gajardo (1997) Caracterización genética, hematologica y química sanguinea de salmonideos silvestres y de cultivo.. FIP IT 95-35 61.","Gajardo, G. 1997. Caracterización genética, hematologica y química sanguinea de salmonideos silvestres y de cultivo. Fondo de Investigación Pesquera - Universidad de los Lagos."
